id;agent_id;name;agent_group_id;title_color;remark
1;27076;Metal alarm;PCI;Buckinghamshire;Agent wireless United States Minor Outlying Islands
2;50112;Expanded Liberia AI;fresh-thinking;sticky;program
3;71600;compelling migration;HDD;RSS Principal;Pataca Global navigate
4;23439;Meadow;New Hampshire;Intranet;indexing
5;60543;interactive motivating;parse;program front-end;Gorgeous
6;58465;one-to-one Networked;matrix Phased;Palladium;Fully-configurable benchmark
7;38809;Pass Sleek Rubber Gloves Outdoors;Texas 24 hour Stand-alone;high-level interfaces Kwanza;Specialist
8;75296;Berkshire;ivory Brand PCI;Branding cultivate Future;connect Cape Verde website
9;72200;Isle of Man connect Central;optical;Guinea-Bissau Nebraska;deposit Implementation Human
10;48214;CSS zero defect Australian Dollar;Awesome Berkshire Connecticut;hierarchy;Rubber
